player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.705,30,0.011,0.046,-0.076,0.035,0.113,-0.063,0.007,-0.055,-0.111,2.724,2.684,"FedEx St. Jude Championship","TPC Southwind"
"McIlroy, Rory",150,1.935,37,-0.020,-0.045,-0.080,0.277,0.077,-0.191,-0.002,-0.027,-0.219,1.924,2.768,"FedEx St. Jude Championship","TPC Southwind"
"Fleetwood, Tommy",150,1.875,35,-0.013,0.004,-0.138,-0.020,0.146,0.017,0.010,-0.040,-0.012,1.842,2.642,"FedEx St. Jude Championship","TPC Southwind"
"Young, Cameron",150,1.562,29,0.015,0.036,0.031,0.243,0.051,-0.117,0.001,-0.021,-0.138,1.800,2.785,"FedEx St. Jude Championship","TPC Southwind"
"Schauffele, Xander",150,1.572,32,-0.001,0.016,-0.022,0.253,0.108,-0.120,0.001,-0.024,-0.143,1.783,2.748,"FedEx St. Jude Championship","TPC Southwind"
"Fitzpatrick, Matt",150,1.807,31,0.003,-0.006,-0.180,0.009,0.108,-0.002,0.006,-0.039,-0.035,1.705,2.640,"FedEx St. Jude Championship","TPC Southwind"
"Thomas, Justin",150,1.199,33,-0.003,0.021,0.098,0.232,0.121,-0.028,0.002,-0.041,-0.067,1.601,2.746,"FedEx St. Jude Championship","TPC Southwind"
"Burns, Sam",150,1.800,30,0.011,0.038,-0.119,-0.171,0.149,-0.081,-0.001,-0.037,-0.119,1.590,2.741,"FedEx St. Jude Championship","TPC Southwind"
"Kim, Si Woo",150,1.521,31,0.007,0.002,-0.051,0.035,0.020,0.040,0.010,-0.026,0.024,1.556,2.655,"FedEx St. Jude Championship","TPC Southwind"
"Matsuyama, Hideki",150,1.398,34,-0.008,-0.026,0.158,-0.130,0.163,0.012,0.003,-0.039,-0.024,1.531,2.677,"FedEx St. Jude Championship","TPC Southwind"
"Cantlay, Patrick",150,1.455,34,-0.008,-0.004,-0.007,0.017,0.128,-0.026,0.002,-0.027,-0.051,1.530,2.658,"FedEx St. Jude Championship","TPC Southwind"
"Morikawa, Collin",150,1.564,29,0.014,-0.017,-0.067,-0.100,0.107,0.021,0.011,-0.018,0.013,1.515,2.672,"FedEx St. Jude Championship","TPC Southwind"
"Aberg, Ludvig",150,1.500,26,0.026,0.114,-0.162,0.138,0.012,-0.109,0.001,-0.023,-0.130,1.496,2.770,"FedEx St. Jude Championship","TPC Southwind"
"Hovland, Viktor",150,1.273,28,0.016,0.059,-0.126,0.119,0.099,-0.016,0.005,-0.022,-0.032,1.409,2.703,"FedEx St. Jude Championship","TPC Southwind"
"Henley, Russell",150,1.550,37,-0.021,-0.137,0.004,-0.176,0.082,0.094,0.013,-0.030,0.077,1.379,2.628,"FedEx St. Jude Championship","TPC Southwind"
"Gotterup, Chris",150,1.343,27,0.025,0.100,-0.104,0.129,-0.036,-0.147,-0.004,-0.019,-0.170,1.286,2.784,"FedEx St. Jude Championship","TPC Southwind"
"Griffin, Ben",150,1.084,30,0.010,0.034,0.029,0.120,0.045,-0.009,-0.000,-0.042,-0.050,1.273,2.631,"FedEx St. Jude Championship","TPC Southwind"
"Gerard, Ryan",150,1.158,27,0.025,0.050,0.024,0.077,-0.021,-0.023,0.005,-0.025,-0.043,1.270,2.700,"FedEx St. Jude Championship","TPC Southwind"
"Kim, Tom",150,0.983,24,0.037,-0.029,0.153,0.058,0.029,0.022,0.004,-0.025,0.002,1.233,2.689,"FedEx St. Jude Championship","TPC Southwind"
"Koivun, Jackson",150,1.069,21,0.050,-0.005,0.188,0.008,-0.047,-0.022,0.006,-0.021,-0.038,1.225,2.706,"FedEx St. Jude Championship","TPC Southwind"
"MacIntyre, Robert",150,1.340,30,0.011,0.048,-0.153,-0.065,0.077,-0.019,0.002,-0.032,-0.048,1.210,2.672,"FedEx St. Jude Championship","TPC Southwind"
"McNealy, Maverick",150,1.094,30,0.008,0.064,0.061,0.011,0.061,-0.045,-0.002,-0.045,-0.092,1.207,2.735,"FedEx St. Jude Championship","TPC Southwind"
"Rai, Aaron",150,0.896,31,0.005,-0.087,0.097,0.018,0.132,0.099,0.013,-0.012,0.100,1.161,2.606,"FedEx St. Jude Championship","TPC Southwind"
"Spaun, J.J.",150,1.195,35,-0.015,-0.003,-0.075,-0.041,0.088,0.005,0.006,-0.008,0.003,1.151,2.658,"FedEx St. Jude Championship","TPC Southwind"
"Thorbjornsen, Michael",150,0.936,24,0.034,0.038,0.005,0.231,-0.047,-0.081,0.003,-0.018,-0.096,1.100,2.744,"FedEx St. Jude Championship","TPC Southwind"
"Lee, Min Woo",150,1.005,28,0.020,0.064,-0.137,0.317,-0.036,-0.128,-0.001,-0.022,-0.150,1.082,2.752,"FedEx St. Jude Championship","TPC Southwind"
"Fitzpatrick, Alex",150,0.819,27,0.022,-0.016,0.018,0.237,-0.047,-0.010,0.005,-0.003,-0.007,1.026,2.700,"FedEx St. Jude Championship","TPC Southwind"
"Clark, Wyndham",150,1.282,32,-0.000,0.006,-0.069,-0.138,0.036,-0.060,-0.005,-0.044,-0.109,1.008,2.764,"FedEx St. Jude Championship","TPC Southwind"
"Lowry, Shane",150,1.052,39,-0.030,-0.028,-0.084,-0.018,0.081,0.006,0.004,-0.004,0.006,0.980,2.670,"FedEx St. Jude Championship","TPC Southwind"
"Im, Sungjae",150,0.522,28,0.019,-0.003,0.148,0.197,0.102,0.010,0.003,-0.034,-0.021,0.963,2.715,"FedEx St. Jude Championship","TPC Southwind"
"Conners, Corey",150,0.783,34,-0.009,-0.026,0.051,0.044,0.092,0.002,0.006,-0.005,0.003,0.937,2.685,"FedEx St. Jude Championship","TPC Southwind"
"English, Harris",150,0.753,37,-0.019,-0.038,-0.009,0.081,0.198,-0.017,0.003,-0.026,-0.041,0.924,2.642,"FedEx St. Jude Championship","TPC Southwind"
"Kitayama, Kurt",150,1.055,33,-0.004,0.030,-0.123,0.014,0.030,-0.081,-0.000,-0.007,-0.088,0.914,2.752,"FedEx St. Jude Championship","TPC Southwind"
"Fowler, Rickie",150,0.999,37,-0.022,-0.064,-0.031,-0.046,0.083,0.002,0.005,-0.014,-0.008,0.912,2.711,"FedEx St. Jude Championship","TPC Southwind"
"Smalley, Alex",150,0.884,29,0.012,0.053,0.077,-0.043,-0.040,-0.021,0.003,-0.018,-0.035,0.908,2.723,"FedEx St. Jude Championship","TPC Southwind"
"Noren, Alex",150,0.982,44,-0.050,-0.093,0.089,-0.101,0.017,0.079,0.007,-0.032,0.053,0.896,2.643,"FedEx St. Jude Championship","TPC Southwind"
"Cauley, Bud",150,0.727,36,-0.017,-0.017,0.083,0.096,0.008,-0.015,0.002,-0.014,-0.027,0.854,2.703,"FedEx St. Jude Championship","TPC Southwind"
"Rose, Justin",150,1.064,46,-0.059,-0.065,-0.105,-0.066,0.116,-0.023,0.001,-0.010,-0.032,0.853,2.762,"FedEx St. Jude Championship","TPC Southwind"
"Brennan, Michael",150,0.887,24,0.035,0.090,0.124,-0.105,-0.047,-0.152,-0.002,-0.001,-0.154,0.830,2.790,"FedEx St. Jude Championship","TPC Southwind"
"Bhatia, Akshay",150,0.958,24,0.035,0.074,-0.094,-0.170,0.045,-0.001,-0.002,-0.035,-0.038,0.811,2.702,"FedEx St. Jude Championship","TPC Southwind"
"Smith, Jordan",150,0.691,33,-0.005,0.028,0.112,0.048,-0.047,-0.037,0.007,0.001,-0.029,0.799,2.712,"FedEx St. Jude Championship","TPC Southwind"
"Mitchell, Keith",150,0.739,34,-0.009,0.021,0.081,-0.008,0.065,-0.096,-0.001,0.004,-0.093,0.796,2.729,"FedEx St. Jude Championship","TPC Southwind"
"Bridgeman, Jacob",150,0.952,26,0.026,0.025,-0.020,-0.177,0.003,0.001,0.002,-0.026,-0.023,0.786,2.697,"FedEx St. Jude Championship","TPC Southwind"
"Spieth, Jordan",150,0.536,33,-0.002,-0.012,0.121,0.131,0.070,-0.065,-0.002,-0.016,-0.083,0.762,2.708,"FedEx St. Jude Championship","TPC Southwind"
"Poston, J.T.",150,0.572,33,-0.003,-0.092,0.039,0.054,0.141,0.044,0.005,-0.010,0.039,0.751,2.660,"FedEx St. Jude Championship","TPC Southwind"
"Harman, Brian",150,0.661,39,-0.030,-0.067,0.057,-0.038,0.111,0.069,0.005,-0.021,0.053,0.746,2.663,"FedEx St. Jude Championship","TPC Southwind"
"Cole, Eric",150,0.639,38,-0.024,0.041,0.085,-0.013,0.026,0.023,-0.004,-0.038,-0.019,0.736,2.734,"FedEx St. Jude Championship","TPC Southwind"
"Kim, Michael",150,0.623,33,-0.002,0.007,0.094,-0.072,0.070,0.019,-0.002,-0.025,-0.008,0.711,2.702,"FedEx St. Jude Championship","TPC Southwind"
"Scott, Adam",150,0.884,46,-0.059,-0.039,-0.149,-0.008,0.140,-0.067,-0.002,0.001,-0.068,0.700,2.725,"FedEx St. Jude Championship","TPC Southwind"
"Reitan, Kristoffer",150,0.901,28,0.018,0.036,-0.225,0.076,-0.047,-0.081,0.000,-0.005,-0.086,0.674,2.797,"FedEx St. Jude Championship","TPC Southwind"
"Hisatsune, Ryo",150,0.384,23,0.038,-0.008,0.050,0.232,-0.047,-0.024,0.004,0.000,-0.020,0.629,2.727,"FedEx St. Jude Championship","TPC Southwind"
"Hojgaard, Nicolai",150,0.759,25,0.031,-0.011,-0.070,0.131,-0.047,-0.159,-0.007,-0.010,-0.177,0.617,2.765,"FedEx St. Jude Championship","TPC Southwind"
"Hall, Harry",150,0.568,29,0.016,0.030,0.075,-0.026,-0.010,0.008,-0.004,-0.041,-0.037,0.616,2.647,"FedEx St. Jude Championship","TPC Southwind"
"Knapp, Jake",150,0.865,32,0.002,0.094,-0.109,-0.088,-0.042,-0.113,-0.004,-0.009,-0.125,0.597,2.792,"FedEx St. Jude Championship","TPC Southwind"
"Theegala, Sahith",150,0.503,28,0.017,0.017,0.121,-0.125,0.064,-0.040,-0.004,-0.015,-0.059,0.538,2.748,"FedEx St. Jude Championship","TPC Southwind"
"Taylor, Nick",150,0.557,38,-0.025,-0.057,0.083,-0.163,0.090,0.064,0.004,-0.026,0.042,0.529,2.624,"FedEx St. Jude Championship","TPC Southwind"
"Castillo, Ricky",150,0.383,25,0.031,0.034,0.087,0.027,-0.047,-0.024,-0.000,-0.014,-0.038,0.478,2.665,"FedEx St. Jude Championship","TPC Southwind"
"Fox, Ryan",150,0.897,39,-0.030,0.020,-0.118,-0.229,-0.024,-0.060,-0.005,-0.012,-0.077,0.439,2.685,"FedEx St. Jude Championship","TPC Southwind"
"Echavarria, Nico",150,0.398,32,0.003,0.006,0.093,-0.138,-0.012,0.034,0.002,-0.014,0.022,0.372,2.749,"FedEx St. Jude Championship","TPC Southwind"
"Woodland, Gary",150,0.560,42,-0.042,0.012,-0.111,-0.025,0.055,-0.093,0.001,0.011,-0.081,0.368,2.755,"FedEx St. Jude Championship","TPC Southwind"
"McCarty, Matt",150,0.450,28,0.017,0.014,0.082,-0.174,-0.047,0.042,0.002,-0.018,0.025,0.367,2.695,"FedEx St. Jude Championship","TPC Southwind"
"Stevens, Sam",150,0.032,30,0.011,0.028,0.084,0.205,-0.003,-0.051,-0.002,0.002,-0.051,0.307,2.700,"FedEx St. Jude Championship","TPC Southwind"
"Straka, Sepp",150,0.090,33,-0.003,-0.031,0.002,0.135,0.072,0.017,0.004,0.005,0.026,0.292,2.753,"FedEx St. Jude Championship","TPC Southwind"
"Homa, Max",150,0.407,35,-0.013,-0.033,-0.100,-0.027,0.027,-0.025,-0.003,-0.012,-0.040,0.221,2.755,"FedEx St. Jude Championship","TPC Southwind"
"Yellamaraju, Sudarshan",150,0.214,25,0.033,0.060,-0.130,0.041,-0.047,-0.060,0.000,-0.002,-0.062,0.109,2.749,"FedEx St. Jude Championship","TPC Southwind"
"Schmid, Matti",150,-0.059,28,0.017,-0.007,0.068,0.103,-0.009,-0.058,-0.004,-0.000,-0.062,0.052,2.782,"FedEx St. Jude Championship","TPC Southwind"
"Coody, Pierceson",150,0.045,26,0.026,0.069,0.008,0.017,-0.047,-0.107,-0.004,0.000,-0.111,0.008,2.773,"FedEx St. Jude Championship","TPC Southwind"
"Potgieter, Aldrich",150,-0.293,21,0.047,0.075,-0.044,0.074,-0.023,-0.207,-0.010,0.019,-0.198,-0.361,2.870,"FedEx St. Jude Championship","TPC Southwind"
"Rodgers, Patrick",150,-0.403,34,-0.007,-0.005,0.056,-0.060,0.069,-0.036,-0.006,-0.005,-0.048,-0.397,2.762,"FedEx St. Jude Championship","TPC Southwind"
